,Country Name,Year,Domestic credit to private sector (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (constant 2015 US$),Gross fixed capital formation (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP)
18,Brazil,2013,64.23057382837769,3.0415090162433764,9366.739324343585,20.91192187183007,6.20431066640101,25.785957327467397
19,Brazil,2014,66.02851039405598,3.5713526695747713,9338.342782781145,19.873028905062906,6.32904015516139,24.685405813129123
20,Brazil,2015,66.82970064757285,3.5921493179134427,8936.196617121128,17.835807050075452,9.02990102416136,26.95362593736003
21,Brazil,2016,62.194006963352244,4.137378038658919,8577.843766509106,15.524327323300517,8.73914352329393,24.53368207770058
22,Brazil,2017,59.4843092973742,3.338259817390387,8628.253089080426,14.558986516932801,3.44637335032669,24.319734374305654
23,Brazil,2018,60.21834793817755,4.078588214549473,8722.336303179345,15.096911955585945,3.66485028376729,28.876203376386574
24,Brazil,2019,62.79050507894599,3.6926732131559996,8771.44051292177,15.471169744823252,3.73297621216894,28.890257869896356
25,Brazil,2020,68.69615484706092,2.592637953102746,8435.01143254978,16.561021562648243,3.21176803803376,32.30207854379395
26,Brazil,2021,68.80522468302526,2.7797908493815897,8799.229458109006,17.917849053259758,8.30165975585673,37.656330759808206
27,Brazil,2022,70.60609737829704,3.8221961533296955,9032.084815662993,17.800402392891073,9.28010608956873,38.816065976339715
28,Brazil,2023,71.07554055091127,2.8497546823908024,9288.027014700689,16.410975108623994,4.59356282283204,33.6662298301438
29,Brazil,2024,75.83876208716194,3.2609641595723415,9564.576077192225,17.03290636789027,4.36746407652337,35.53122024424571
30,China,1995,83.78329716104292,4.85635899646063,1545.194294042116,32.62805477425571,16.7912251650916,34.104952158932285
31,China,1996,88.96380863751305,4.626239797204288,1681.627435289355,31.90958114182682,8.31316028893909,33.62875123130053
32,China,1997,96.11097538173887,4.695306882679962,1819.0978930226768,31.250233717669058,2.78646505531882,34.31357632200212
33,China,1998,104.37436454668376,4.400973621650076,1944.4371970577063,33.069893168141675,-0.773186011549318,32.17173993574878
34,China,1999,109.39959881329277,3.7155639376267384,2076.818129196219,32.67504861625605,-1.40147268276465,33.22553807600541
35,China,2000,109.99487703906676,3.4398472531571853,2237.442985003341,32.64717901540442,0.347811226864587,39.01094247749984
36,China,2001,108.77479218918428,3.4724523557895917,2405.893967432147,33.459881791020294,0.719125609120114,38.082646951833446
37,China,2002,115.97939047245238,3.5624141826392832,2610.7296025237897,34.987864107194845,-0.731970902350244,42.194442338741275
38,China,2003,123.90844133155112,3.4384953773121127,2857.0373538115014,38.08468093441328,1.12760348729637,51.077480130180305
39,China,2004,116.91116009450278,3.4329901509291285,3127.8627652363184,39.350537058236114,3.82463743108159,58.64033404084389
40,China,2005,110.31841291154905,4.492185090124669,3465.81734409951,39.270328975948814,1.77641407667571,61.36007494082367
41,China,2006,107.61848409369463,4.444997438735966,3883.3541294247393,38.521572623399216,1.6494309945586,63.569579862162726
42,China,2007,104.21046488853843,4.335375002369197,4409.757008368781,37.67098731233567,4.81676767378834,61.26646400061758
43,China,2008,100.40796095681459,3.6752071750632727,4811.47471804961,38.80308142198794,5.92525137041092,56.71113300032089
44,China,2009,122.30114770830973,2.5253898433425443,5237.766665403525,43.40976685200563,-0.728165250932898,44.41976443311194
45,China,2010,124.42560846398942,3.935419967315132,5764.865349874065,43.52018219057548,3.17532475269199,49.85407223394559
46,China,2011,121.16709312787862,3.650691902284246,6275.9095643625815,43.515390928039025,5.55389892257493,49.94582722534434
47,China,2012,126.81973450997477,2.7809913818161345,6723.194437528233,43.873707650591605,2.61952432645541,47.480213078409996
48,China,2013,131.93904569746235,2.985987082619856,7198.068764781617,44.07554313650523,2.62105001748115,45.916041379514375
49,China,2014,137.6237263084617,2.511558836704635,7686.577929543814,43.38034736800853,1.92164162788521,44.06845648124006
50,China,2015,149.62883203870828,2.1495728473156372,8175.332850773929,41.61667104381921,1.43702380935655,38.69718483622332
51,China,2016,153.19276182731318,1.5253947031539519,8679.37704460133,41.08058008941228,2.00000182191943,36.17717069290693
52,China,2017,152.08974745844293,1.3246897174848273,9221.51403820573,41.41848979959355,1.59313600071436,36.95085261592746
53,China,2018,154.9915602247636,1.663619922844081,9798.652852331597,42.38037602372026,2.07479039965576,36.894384391414796
54,China,2019,162.20756623275776,1.2854922684799166,10356.480419499538,42.25034905023738,2.89923416358227,35.199420273902135
55,China,2020,179.10410022195785,1.687707562920821,10573.642005928228,41.849411460944374,2.41942189457782,34.03895078640185
56,China,2021,173.55451872048766,1.8903454142587997,11469.570713492762,41.352120379307614,0.981015135544882,36.52069117625638
57,China,2022,181.7851624297152,1.0384136547434903,11830.598370349626,41.23293172755852,1.97357555739051,37.440719876358536
58,China,2023,189.60670898930806,0.2809911036348164,12484.157884417456,40.45443472185941,0.234836828893051,36.105192369057434
59,China,2024,194.1659968448106,0.09899880511827375,13121.676990556489,,0.218128938439177,37.19842013886228
60,India,1995,22.510774702358244,0.5949863295676185,620.6999543303795,25.13692250171931,10.2248861637544,22.8674487062499
61,India,1996,23.402442036857753,0.6174793516037048,654.3559284296408,24.524787124235107,8.97715233826453,21.92948787138665
62,India,1997,23.55532534622629,0.8602089596601409,667.5984230950393,25.35005214960809,7.16425211462724,22.619386867047854
63,India,1998,23.677746857874478,0.6252862041878662,695.2937093447987,25.45876777771018,13.2308389767977,23.69947007906474
64,India,1999,25.422862207347148,0.47264419145892755,742.5392083944503,27.535092424558723,4.66982038037594,24.815598044292916
65,India,2000,28.339551157518265,0.7652116942808195,756.7041095274493,26.021784845146062,4.0094359104519,26.900922910447356
66,India,2001,28.61941542541017,1.0563802099335802,778.5073775283648,29.93230963924568,3.77929312235637,25.993254753436517
